S1,S2,S3,D
121,126,91,8
98,105,110,4
133,114,101,2
168,150,128,2
146,103,72,6
136,175,126,0
64,73,54,8
108,161,117,0
152,128,76,1
102,162,117,0
150,122,109,2
91,100,108,4
143,128,109,2
194,196,139,3
139,114,94,2
175,135,98,6
136,175,119,0
158,129,85,1
175,135,98,6
71,73,54,8
91,153,111,0
193,201,139,3
157,137,85,1
153,130,75,1
75,137,80,5
188,202,144,3
116,159,99,5
32,31,23,7
176,128,98,6
74,137,80,5
194,202,139,3
107,162,117,0
86,94,103,4
141,115,102,2
162,162,117,3
86,94,104,4
174,127,96,6
40,39,29,7
134,115,101,2
84,85,63,8
86,154,111,0
143,128,109,2
92,154,105,0
141,104,73,6
92,100,109,4
71,73,54,8
116,153,99,5
194,202,137,3
158,138,79,1
71,74,48,8
154,129,77,1
159,132,86,1
155,160,114,3
91,153,111,0
91,101,109,4
91,148,111,0
146,102,72,6
77,86,63,8
157,138,85,1
164,164,118,3
34,32,24,7
32,32,24,7
130,175,126,0
33,32,24,7
152,126,97,6
146,131,89,1
147,98,73,6
108,162,111,0
116,159,100,5
115,126,91,8
91,147,111,0
145,131,88,1
188,202,139,3
158,126,91,6
139,104,72,6
107,152,90,5
85,88,64,8
158,138,86,1
146,97,72,6
130,175,126,0
149,127,108,2
163,162,117,3
169,135,98,6
140,114,99,2
40,39,29,7
74,130,79,5
169,150,124,2
116,153,91,5
32,31,23,7
107,162,117,0
70,73,48,8
96,105,109,4
95,103,108,4
80,94,103,4
158,126,98,6
108,162,115,0
92,154,111,0
92,101,109,4
40,39,29,7
143,128,109,2
112,144,89,5
147,104,73,6
73,71,53,7
84,87,64,8
73,71,53,7
74,137,80,5
92,147,111,0
34,33,24,7
147,97,72,6
162,160,115,3
70,73,54,8
85,82,64,8
154,129,77,1
92,100,109,4
137,175,126,0
33,32,23,7
107,162,117,0
146,131,88,1
194,196,139,3
73,71,53,7
194,195,138,3
153,129,77,1
169,144,128,2
40,39,29,7
39,38,28,7
113,152,90,5
187,202,144,3
146,129,76,1
169,150,128,2
150,123,109,2
73,71,53,7
92,101,109,4
130,175,126,0
140,114,101,2
161,159,114,8
157,119,97,6
110,143,79,5
194,202,144,3
111,144,88,5
158,138,85,1
67,72,53,7
121,126,92,8
97,105,104,4
137,175,126,0
40,39,29,7
70,73,53,8
169,142,129,2
120,125,92,8
114,153,84,5
91,153,111,0
70,73,54,8
136,174,120,0
168,150,128,2
74,136,80,5
74,136,80,5
116,159,100,5
146,104,73,6
140,104,72,6
136,175,126,0
162,150,128,2
85,92,102,4
121,120,91,8
162,160,115,3
80,94,103,4
91,101,109,4
108,162,118,0
108,162,117,0
158,125,91,6
71,74,55,8
143,128,109,2
66,71,53,7
149,128,102,2
153,123,77,1
155,160,114,3
145,130,88,1
146,104,72,6
177,136,98,6
153,129,77,1
65,74,54,8
158,138,85,1
33,39,29,7
91,100,108,4
73,136,79,5
32,31,23,7
143,128,108,2
140,104,72,6
73,72,53,7
33,32,23,7
153,129,77,1
130,174,117,0
74,136,79,5
73,72,53,7
162,160,115,3
91,153,105,0
91,93,108,4
193,202,138,3
153,115,77,1
110,160,100,5
33,24,24,7
111,150,89,5
121,126,92,8
193,202,142,3
91,147,111,0
73,65,53,7
92,154,112,0
86,87,103,4
68,136,79,5
136,168,126,0
158,137,79,1
74,137,80,5
40,31,29,7
40,39,29,7
84,87,63,8
146,98,72,6
162,160,115,3
140,114,101,2
72,71,53,7
152,125,97,6
74,136,79,5
91,100,108,4
173,133,96,6
153,129,77,1
108,153,117,0
70,73,54,8
149,128,108,2
163,163,117,3
74,137,80,5
161,154,115,3
136,175,120,0
162,150,128,2
41,40,30,7
71,74,54,8
147,104,73,6
154,124,78,1
136,168,126,0
136,174,126,0
176,136,99,6
162,150,124,2
116,159,100,5
39,38,28,7
158,138,85,1
121,126,91,8
75,137,80,5
85,100,108,4
194,202,143,3
143,128,109,2
74,137,80,5
